,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,846.0,4977,眾達-KY,7289,6791,,,,,,,,,,,,,False
2022-12-12,,4977,眾達-KY,6979,6914,,,352.0,412.0,5.0,17172.0,,,,17172.0,, ,False
2022-12-13,,4977,眾達-KY,6815,6823,629.0,1257.0,519.0,511.0,,17172.0,5.0,633.0,,17172.0,43.0, ,False
2022-12-14,,4977,眾達-KY,6823,6994,1257.0,1258.0,623.0,451.0,1.0,17172.0,21.0,22.0,,17172.0,30.0, ,False
2022-12-15,,4977,眾達-KY,6994,7376,1258.0,1224.0,559.0,169.0,8.0,17172.0,35.0,1.0,,17172.0,, ,False
2022-12-18,,4977,眾達-KY,7376,7049,1224.0,1233.0,748.0,1074.0,1.0,17172.0,3.0,12.0,,17172.0,2.0, ,False
2022-12-19,,4977,眾達-KY,7049,7558,1233.0,1246.0,592.0,83.0,,17172.0,,13.0,,17172.0,, ,False
2022-12-20,,4977,眾達-KY,7558,7140,1246.0,1247.0,256.0,674.0,,17172.0,18.0,19.0,,17172.0,1.0, ,False
2022-12-21,,4977,眾達-KY,7140,7074,1247.0,1283.0,206.0,272.0,,17172.0,10.0,46.0,,17172.0,, ,False
2022-12-23,,4977,眾達-KY,6361,6117,1524.0,1524.0,251.0,495.0,,17172.0,14.0,14.0,,17172.0,3.0, ,False
2022-12-26,,4977,眾達-KY,6117,6210,1524.0,1535.0,385.0,261.0,31.0,17172.0,5.0,16.0,,17172.0,7.0, ,False
2022-12-27,,4977,眾達-KY,6210,6363,1535.0,1865.0,423.0,270.0,,17172.0,1.0,331.0,,17172.0,6.0, ,False
2022-12-28,,4977,眾達-KY,6363,6588,1865.0,1872.0,872.0,639.0,8.0,17172.0,23.0,30.0,,17172.0,8.0, ,False
2022-12-29,,4977,眾達-KY,6588,6794,1872.0,1898.0,370.0,159.0,5.0,17172.0,9.0,35.0,,17172.0,6.0, ,False
2022-12-30,,4977,眾達-KY,6794,6488,1898.0,1996.0,676.0,980.0,2.0,17172.0,5.0,103.0,,17172.0,8.0, ,False
2023-01-03,,4977,眾達-KY,6488,6568,1996.0,2036.0,672.0,591.0,1.0,17172.0,22.0,62.0,,17172.0,3.0, ,
2023-01-04,,4977,眾達-KY,6568,6241,2036.0,2158.0,534.0,861.0,,19672.0,59.0,181.0,,19672.0,1.0, ,
2023-01-05,,4977,眾達-KY,6241,6615,2158.0,702.0,863.0,489.0,,19672.0,1419.0,10.0,47.0,19672.0,4.0, ,
2023-01-06,,4977,眾達-KY,6615,6524,702.0,87.0,699.0,790.0,,19672.0,619.0,16.0,12.0,19672.0,, ,
2023-01-10,,4977,眾達-KY,6346,5655,83.0,151.0,559.0,1250.0,,19672.0,10.0,78.0,,19672.0,7.0, ,
2023-01-11,,4977,眾達-KY,5655,5671,151.0,147.0,655.0,629.0,10.0,19672.0,6.0,2.0,,19672.0,3.0, ,
