,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,273.0,1560,中砂,8732,8841,709,688,,,,,,,,,,,False
2022-12-12,,1560,中砂,8468,8588,692,639,883.0,763.0,,35928.0,67.0,14.0,,35928.0,4.0, ,False
2022-12-13,,1560,中砂,8491,8567,974,849,442.0,365.0,1.0,35928.0,189.0,64.0,,35928.0,4.0, ,False
2022-12-14,,1560,中砂,8567,8410,849,760,303.0,435.0,25.0,35930.0,149.0,60.0,,35930.0,3.0, ,False
2022-12-15,,1560,中砂,8410,8712,760,965,708.0,397.0,9.0,35930.0,54.0,259.0,,35930.0,1.0, ,False
2022-12-18,,1560,中砂,8712,8568,965,921,231.0,375.0,,35930.0,130.0,86.0,,35930.0,2.0, ,False
2022-12-19,,1560,中砂,8568,8537,921,868,287.0,315.0,3.0,35930.0,134.0,81.0,,35930.0,2.0, ,False
2022-12-20,,1560,中砂,8537,8280,868,1024,257.0,511.0,3.0,35930.0,104.0,260.0,,35930.0,3.0, ,False
2022-12-21,,1560,中砂,8280,8270,1024,1075,116.0,126.0,,35930.0,21.0,72.0,,35930.0,1.0, ,False
2022-12-23,,1560,中砂,8387,8249,1078,1056,80.0,208.0,10.0,35930.0,61.0,39.0,,35930.0,, ,False
2022-12-26,,1560,中砂,8249,8242,1056,1024,250.0,253.0,4.0,35930.0,81.0,49.0,,35930.0,2.0, ,False
2022-12-27,,1560,中砂,8242,8259,1024,1025,168.0,151.0,,35930.0,61.0,62.0,,35930.0,, ,False
2022-12-28,,1560,中砂,8259,8305,1025,975,232.0,182.0,4.0,35930.0,143.0,94.0,1.0,35930.0,, ,False
2022-12-29,,1560,中砂,8305,8141,975,979,103.0,265.0,2.0,35930.0,33.0,37.0,,35930.0,, ,False
2022-12-30,,1560,中砂,8141,8206,979,972,175.0,109.0,1.0,35930.0,25.0,18.0,,35930.0,2.0, ,False
2023-01-03,,1560,中砂,8206,8171,972,782,164.0,197.0,2.0,35930.0,227.0,37.0,,35930.0,, ,
2023-01-04,,1560,中砂,8171,8232,782,718,144.0,83.0,,35930.0,69.0,5.0,,35930.0,, ,
2023-01-05,,1560,中砂,8232,8177,718,708,155.0,206.0,4.0,35930.0,51.0,41.0,,35930.0,, ,
2023-01-06,,1560,中砂,8177,8115,708,698,83.0,145.0,,35930.0,25.0,15.0,,35930.0,1.0, ,
2023-01-10,,1560,中砂,8184,9201,642,760,1893.0,874.0,2.0,35930.0,45.0,163.0,,35930.0,19.0, ,
2023-01-11,,1560,中砂,9201,9111,760,743,854.0,944.0,,35930.0,71.0,54.0,,35930.0,15.0, ,
2023-01-12,,1560,中砂,9111,9165,743,694,482.0,428.0,,35930.0,62.0,13.0,,35930.0,1.0, ,
2023-01-14,,1560,中砂,9165,8887,694,700,655.0,928.0,5.0,35933.0,4.0,11.0,1.0,35933.0,6.0, ,
2023-01-16,,1560,中砂,8887,8882,700,683,247.0,247.0,5.0,35933.0,23.0,6.0,,35933.0,2.0, ,
2023-01-18,,1560,中砂,8882,8731,683,653,364.0,510.0,5.0,35933.0,44.0,14.0,,35933.0,5.0, ,
2023-02-01,,1560,中砂,8279,8143,696,676,451.0,578.0,9.0,35933.0,9.0,12.0,23.0,35933.0,1.0, ,
2023-02-02,,1560,中砂,8279,8143,696,676,451.0,578.0,9.0,35933.0,9.0,12.0,23.0,35933.0,1.0, ,
2023-02-03,,1560,中砂,8159,7963,623,641,210.0,403.0,3.0,35933.0,8.0,26.0,,35933.0,, ,
2023-02-04,,1560,中砂,8159,7963,623,641,210.0,403.0,3.0,35933.0,8.0,26.0,,35933.0,, ,
2023-02-06,,1560,中砂,7963,7786,641,604,230.0,405.0,2.0,35933.0,41.0,4.0,,35933.0,, ,
2023-02-07,,1560,中砂,7786,7781,604,637,171.0,167.0,9.0,35933.0,3.0,36.0,,35933.0,, ,
2023-02-08,,1560,中砂,7781,8042,637,639,689.0,428.0,,35933.0,25.0,27.0,,35933.0,2.0, ,
2023-02-09,,1560,中砂,8042,8168,639,627,309.0,182.0,1.0,35933.0,12.0,,,35933.0,, ,
2023-02-10,,1560,中砂,8168,8147,627,601,168.0,189.0,,35933.0,26.0,,,35933.0,, ,
2023-02-11,,1560,中砂,8168,8147,627,601,168.0,189.0,,35933.0,26.0,,,35933.0,, ,
2023-02-13,,1560,中砂,8147,8096,601,598,82.0,132.0,1.0,35933.0,6.0,3.0,,35933.0,, ,
2023-02-14,,1560,中砂,8096,8108,598,601,101.0,85.0,4.0,35962.0,,3.0,,35962.0,, ,
2023-02-15,,1560,中砂,8108,8248,601,563,264.0,124.0,,35962.0,64.0,26.0,,35962.0,1.0, ,
2023-02-16,,1560,中砂,8240,8138,563,564,118.0,216.0,4.0,35962.0,43.0,44.0,,35962.0,, ,
2023-02-17,,1560,中砂,8146,8112,564,561,48.0,70.0,12.0,35962.0,4.0,1.0,,35962.0,, ,
2023-02-18,,1560,中砂,8146,8112,564,561,48,70,12,35962,4,1,,35962,, ,
