0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,3002804.0,47681130.0,15.8,15.95,15.8,15.9,+0.10,1486.0,False,,,
23.0,2022-03-01,3002804.0,47681130.0,15.8,15.95,15.8,15.9,+0.10,1486.0,False,0.09523809523809484,0.6171314600032379,0.7969327628287002
1.0,2022-03-02,2802455.0,44557681.0,15.9,15.95,15.85,15.9, 0.00,1473.0,False,,,
24.0,2022-03-02,2802455.0,44557681.0,15.9,15.95,15.85,15.9, 0.00,1473.0,False,0.09523809523809484,0.4431670050815236,0.6790108435796414
2.0,2022-03-03,1901224.0,30304091.0,16.0,16.0,15.9,15.95,+0.05,944.0,False,,,
25.0,2022-03-03,1901224.0,30304091.0,16.0,16.0,15.9,15.95,+0.05,944.0,False,0.1428571428571414,0.34306371767339616,0.5670284682775596
3.0,2022-03-04,3033483.0,48166565.0,15.9,15.95,15.8,15.85,-0.10,1296.0,False,,,
26.0,2022-03-04,3033483.0,48166565.0,15.9,15.95,15.8,15.85,-0.10,1296.0,False,0.04761904761904657,0.2445821609886129,0.4595463658479107
4.0,2022-03-07,9553830.0,149669243.0,15.8,15.8,15.6,15.65,-0.20,5081.0,False,,,
27.0,2022-03-07,9553830.0,149669243.0,15.8,15.8,15.6,15.65,-0.20,5081.0,False,0.040000000000000514,0.17638810732574212,0.3651602796738545
5.0,2022-03-08,15966441.0,242966577.0,15.45,15.5,15.0,15.05,-0.60,9170.0,False,,,
28.0,2022-03-08,15966441.0,242966577.0,15.45,15.5,15.0,15.05,-0.60,9170.0,False,0.02702702702702739,0.12660108055950384,0.2856405466357376
6.0,2022-03-09,13989309.0,207137932.0,15.05,15.1,14.7,14.8,-0.25,8197.0,False,,,
29.0,2022-03-09,13989309.0,207137932.0,15.05,15.1,14.7,14.8,-0.25,8197.0,False,0.04651162790697736,0.09990459634199504,0.22372856320449008
30.0,2022-03-10,5868373.0,87738431.0,14.8,15.05,14.8,15.0,+0.20,3233.0,False,0.13953488372093042,0.1131146921349735,0.18685727284798453
7.0,2022-03-10,5868373.0,87738431.0,14.8,15.05,14.8,15.0,+0.20,3233.0,False,,,
8.0,2022-03-11,3116923.0,46567708.0,15.0,15.0,14.9,14.9,-0.10,1992.0,False,0.15384615384615458,0.3846153846153849,0.4615384615384616
31.0,2022-03-11,3116923.0,46567708.0,15.0,15.0,14.9,14.9,-0.10,1992.0,False,0.15384615384615458,0.1266918460387005,0.16680213057822318
32.0,2022-03-14,4085351.0,61489781.0,14.95,15.1,14.9,15.05,+0.15,1694.0,False,0.26923076923077016,0.17420482043605706,0.1692696938641678
9.0,2022-03-14,4085351.0,61489781.0,14.95,15.1,14.9,15.05,+0.15,1694.0,False,0.26923076923077016,0.3461538461538466,0.4230769230769232
33.0,2022-03-15,18257444.0,287234956.0,15.6,15.9,15.5,15.85,+0.80,6642.0,False,0.8846153846153844,0.4110083418291661,0.2498492431858339
10.0,2022-03-15,18257444.0,287234956.0,15.6,15.9,15.5,15.85,+0.80,6642.0,False,0.8846153846153844,0.5256410256410258,0.4572649572649574
34.0,2022-03-16,7457293.0,118301127.0,15.85,15.9,15.8,15.9,+0.05,3200.0,False,0.9600000000000009,0.5940055612194444,0.364568015863704
11.0,2022-03-16,7457293.0,118301127.0,15.85,15.9,15.8,15.9,+0.05,3200.0,False,0.9600000000000009,0.6704273504273508,0.5283190883190885
35.0,2022-03-17,8797534.0,141237021.0,16.0,16.1,15.95,16.1,+0.20,2780.0,False,1.0,0.7293370408129629,0.4861576908467903
12.0,2022-03-17,8797534.0,141237021.0,16.0,16.1,15.95,16.1,+0.20,2780.0,False,1.0,0.7802849002849005,0.6123076923076924
36.0,2022-03-18,11563888.0,188831129.0,16.15,16.5,16.15,16.3,+0.20,4096.0,False,0.8888888888888893,0.782520990171605,0.5849454572883952
13.0,2022-03-18,11563888.0,188831129.0,16.15,16.5,16.15,16.3,+0.20,4096.0,False,0.8888888888888893,0.8164862298195633,0.6803672048116494
37.0,2022-03-21,6086076.0,99532840.0,16.3,16.45,16.3,16.35,+0.05,2679.0,False,0.9166666666666676,0.8272362156699591,0.6657090434155831
14.0,2022-03-21,6086076.0,99532840.0,16.3,16.45,16.3,16.35,+0.05,2679.0,False,0.9166666666666676,0.849879708768598,0.7368713727972989
38.0,2022-03-22,3570010.0,58201317.0,16.35,16.35,16.2,16.35, 0.00,1943.0,False,0.9117647058823536,0.8554123790740906,0.7289434886350856
15.0,2022-03-22,3570010.0,58201317.0,16.35,16.35,16.2,16.35, 0.00,1943.0,False,0.9117647058823536,0.8705080411398498,0.7814169289114825
16.0,2022-03-23,10178606.0,167467690.0,16.35,16.5,16.35,16.5,+0.15,3479.0,False,1.0,0.9136720274265664,0.8255019617498438
39.0,2022-03-23,10178606.0,167467690.0,16.35,16.5,16.35,16.5,+0.15,3479.0,False,1.0,0.9036082527160604,0.7871650766620771
17.0,2022-03-24,5028207.0,82779304.0,16.5,16.5,16.4,16.5, 0.00,2256.0,False,1.0,0.9424480182843776,0.8644839805946883
40.0,2022-03-24,5028207.0,82779304.0,16.5,16.5,16.4,16.5, 0.00,2256.0,False,1.0,0.93573883514404,0.8366896628227314
18.0,2022-03-25,5309991.0,87374877.0,16.5,16.55,16.4,16.45,-0.05,2201.0,False,0.9047619047619034,0.9298859804435528,0.8862846472109764
41.0,2022-03-25,5309991.0,87374877.0,16.5,16.55,16.4,16.45,-0.05,2201.0,False,0.9047619047619034,0.925413191683328,0.8662641724429301
19.0,2022-03-28,4494818.0,73583531.0,16.45,16.45,16.25,16.4,-0.05,1909.0,False,0.7999999999999972,0.8865906536290342,0.8863866493503291
42.0,2022-03-28,4494818.0,73583531.0,16.45,16.45,16.25,16.4,-0.05,1909.0,False,0.7999999999999972,0.883608794455551,0.8720457131138037
20.0,2022-03-29,5171491.0,85146551.0,16.4,16.5,16.4,16.5,+0.10,2041.0,False,0.9166666666666656,0.8966159913082445,0.8897964300029674
43.0,2022-03-29,5171491.0,85146551.0,16.4,16.5,16.4,16.5,+0.10,2041.0,False,0.9166666666666656,0.8946280851925892,0.8795731704733989
21.0,2022-03-30,6429981.0,106504762.0,16.55,16.6,16.5,16.55,+0.05,2488.0,False,0.8888888888888881,0.8940402905017923,0.8912110501692423
44.0,2022-03-30,6429981.0,106504762.0,16.55,16.6,16.5,16.55,+0.05,2488.0,False,0.8888888888888881,0.892715019758022,0.8839537869016065
22.0,2022-03-31,11633408.0,194292201.0,16.55,16.85,16.5,16.75,+0.20,3935.0,False,0.8461538461538445,0.8780781423858097,0.8868334142414314
45.0,2022-03-31,11633408.0,194292201.0,16.55,16.85,16.5,16.75,+0.20,3935.0,False,0.8461538461538445,0.8771946285566294,0.8817007341199474
46.0,2022-04-01,6496257.0,109338215.0,16.75,16.9,16.6,16.9,+0.15,4516.0,False,1.0,0.9181297523710864,0.8938437402036603
47.0,2022-04-06,12487277.0,212786381.0,16.9,17.25,16.75,17.2,+0.30,4417.0,False,0.9499999999999992,0.9287531682473906,0.9054802162182368
48.0,2022-04-07,15066845.0,258148183.0,17.2,17.35,16.9,16.9,-0.30,5730.0,False,0.5909090909090888,0.81613847580129,0.8756996360792546
49.0,2022-04-08,5052224.0,85975276.0,17.1,17.1,16.9,17.1,+0.20,2162.0,False,0.7727272727272729,0.8016680747766176,0.8510224489783755
50.0,2022-04-11,20375276.0,338382044.0,16.8,16.85,16.4,16.5,-0.60,9056.0,False,0.22727272727272704,0.6102029589419874,0.7707492856329128
51.0,2022-04-12,7370477.0,120254172.0,16.35,16.4,16.2,16.4,-0.10,3231.0,False,0.17391304347825992,0.4647729871207449,0.6687571861288568
52.0,2022-04-13,6059397.0,98962286.0,16.35,16.45,16.25,16.4, 0.00,2706.0,False,0.17391304347825992,0.3678196725732499,0.5684446816103211
53.0,2022-04-14,5263472.0,85547552.0,16.4,16.4,16.2,16.25,-0.15,2450.0,False,0.043478260869565764,0.25970586867202183,0.4655317439642214
54.0,2022-04-15,3517448.0,57057544.0,16.2,16.35,16.15,16.2,-0.05,1692.0,False,0.04166666666666717,0.18702613467023693,0.37269654086622656
55.0,2022-04-18,7476814.0,119746670.0,16.15,16.15,15.95,16.05,-0.15,3526.0,False,0.07142857142857234,0.14849361358968205,0.29796223177404496
56.0,2022-04-19,4263767.0,68656411.0,16.05,16.2,16.0,16.1,+0.05,2115.0,False,0.1071428571428585,0.13471002810740754,0.2435448305518325
57.0,2022-04-20,3460338.0,55624734.0,16.15,16.15,16.0,16.1, 0.00,1886.0,False,0.13043478260869726,0.1332849462745041,0.20679153579272305
58.0,2022-04-21,2663559.0,42963876.0,16.1,16.2,16.1,16.15,+0.05,1211.0,False,0.2222222222222209,0.162930704923743,0.19217125883639635
59.0,2022-04-22,3204318.0,51789014.0,16.1,16.25,16.05,16.2,+0.05,1604.0,False,0.5,0.27528713661582865,0.21987655142954046
60.0,2022-04-25,8094068.0,129211105.0,16.0,16.05,15.9,16.0,-0.20,2521.0,False,0.18181818181818152,0.2441308183499463,0.2279613070696757
