0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,16540322.0,440671011.0,26.4,26.9,26.2,26.65,+0.20,5544.0,False,,,
23.0,2022-03-01,16540322.0,440671011.0,26.4,26.9,26.2,26.65,+0.20,5544.0,False,0.12857142857142834,0.6693084529313232,0.8448662153889359
1.0,2022-03-02,12668411.0,338850359.0,26.65,26.9,26.45,26.9,+0.25,4791.0,False,,,
24.0,2022-03-02,12668411.0,338850359.0,26.65,26.9,26.45,26.9,+0.25,4791.0,False,0.1999999999999998,0.5128723019542154,0.7342015775773623
2.0,2022-03-03,6825502.0,183155413.0,26.9,26.95,26.75,26.85,-0.05,3267.0,False,,,
25.0,2022-03-03,6825502.0,183155413.0,26.9,26.95,26.75,26.85,-0.05,3267.0,False,0.1857142857142864,0.40381962987423903,0.6240742616763212
3.0,2022-03-04,12759665.0,340450380.0,26.5,26.8,26.3,26.8,-0.05,4415.0,False,,,
26.0,2022-03-04,12759665.0,340450380.0,26.5,26.8,26.3,26.8,-0.05,4415.0,False,0.17142857142857185,0.3263559437256833,0.5248348223594419
4.0,2022-03-07,31256054.0,819330541.0,26.45,26.5,26.0,26.3,-0.50,13483.0,False,,,
27.0,2022-03-07,31256054.0,819330541.0,26.45,26.5,26.0,26.3,-0.50,13483.0,False,0.0810810810810813,0.2445976561774825,0.4314224336321221
5.0,2022-03-08,31443911.0,813499037.0,25.6,26.2,25.6,25.9,-0.40,15127.0,False,,,
28.0,2022-03-08,31443911.0,813499037.0,25.6,26.2,25.6,25.9,-0.40,15127.0,False,0.07317073170731643,0.1874553480207605,0.35010007176166824
6.0,2022-03-09,10171293.0,264439288.0,25.9,26.15,25.85,25.95,+0.05,5052.0,False,,,
29.0,2022-03-09,10171293.0,264439288.0,25.9,26.15,25.85,25.95,+0.05,5052.0,False,0.0853658536585361,0.1534255165666857,0.2845418866966741
30.0,2022-03-10,11034444.0,292862502.0,26.05,26.75,26.0,26.75,+0.80,4595.0,False,0.2804878048780486,0.19577961267047334,0.2549544620212738
7.0,2022-03-10,11034444.0,292862502.0,26.05,26.75,26.0,26.75,+0.80,4595.0,False,,,
8.0,2022-03-11,6556374.0,174453648.0,26.75,26.75,26.5,26.65,-0.10,3629.0,False,0.7777777777777769,0.5925925925925923,0.5308641975308641
31.0,2022-03-11,6556374.0,174453648.0,26.75,26.75,26.5,26.65,-0.10,3629.0,False,0.7777777777777769,0.3897790010395745,0.29989597502737403
32.0,2022-03-14,9353584.0,249418346.0,26.55,26.75,26.55,26.75,+0.10,3243.0,False,0.8518518518518522,0.5438032846436671,0.3811984115661384
9.0,2022-03-14,9353584.0,249418346.0,26.55,26.75,26.55,26.75,+0.10,3243.0,False,0.8518518518518522,0.6790123456790123,0.5802469135802468
33.0,2022-03-15,15955303.0,429345130.0,27.05,27.15,26.8,26.95,+0.20,6586.0,False,0.8709677419354841,0.6528581037409394,0.471751642291072
10.0,2022-03-15,15955303.0,429345130.0,27.05,27.15,26.8,26.95,+0.20,6586.0,False,0.8709677419354841,0.7429974777645029,0.6344971016416654
34.0,2022-03-16,15755784.0,426650967.0,27.0,27.3,26.9,27.3,+0.35,6192.0,False,1.0,0.7685720691606263,0.5706917845809234
11.0,2022-03-16,15755784.0,426650967.0,27.0,27.3,26.9,27.3,+0.35,6192.0,False,1.0,0.8286649851763352,0.6992197294865553
35.0,2022-03-17,24594822.0,678860076.0,27.85,27.85,27.3,27.55,+0.25,8093.0,False,0.8666666666666664,0.8012702683293063,0.6475512791637177
12.0,2022-03-17,24594822.0,678860076.0,27.85,27.85,27.3,27.55,+0.25,8093.0,False,0.8666666666666664,0.8413322123397788,0.7465905571042964
36.0,2022-03-18,38973810.0,1091620456.0,27.75,28.15,27.55,28.15,+0.60,7951.0,False,1.0,0.8675135122195374,0.7208720235156576
13.0,2022-03-18,38973810.0,1091620456.0,27.75,28.15,27.55,28.15,+0.60,7951.0,False,1.0,0.8942214748931858,0.7958008630339262
37.0,2022-03-21,16076876.0,449503123.0,28.05,28.1,27.8,27.85,-0.30,8381.0,False,0.8695652173913054,0.8681974139434601,0.7699804869915917
14.0,2022-03-21,16076876.0,449503123.0,28.05,28.1,27.8,27.85,-0.30,8381.0,False,0.8695652173913054,0.8860027223925591,0.8258681494868038
38.0,2022-03-22,9167571.0,255773050.0,27.9,28.0,27.8,28.0,+0.15,3827.0,False,0.9302325581395356,0.8888757953421519,0.8096122564417785
15.0,2022-03-22,9167571.0,255773050.0,27.9,28.0,27.8,28.0,+0.15,3827.0,False,0.9302325581395356,0.9007460009748846,0.8508274333161641
16.0,2022-03-23,23896464.0,677084326.0,28.05,28.6,28.0,28.6,+0.60,7468.0,False,1.0,0.9338306673165896,0.8784951779829725
39.0,2022-03-23,23896464.0,677084326.0,28.05,28.6,28.0,28.6,+0.60,7468.0,False,1.0,0.925917196894768,0.8483805699261082
17.0,2022-03-24,12680394.0,362623894.0,28.5,28.85,28.35,28.65,+0.05,5133.0,False,0.9130434782608684,0.9269016042980158,0.8946306534213202
40.0,2022-03-24,12680394.0,362623894.0,28.5,28.85,28.35,28.65,+0.05,5133.0,False,0.9130434782608684,0.9216259573501346,0.8727956990674504
18.0,2022-03-25,11882435.0,339358440.0,28.5,28.65,28.45,28.65, 0.00,5208.0,False,0.9024390243902426,0.9187474109954248,0.9026695726126884
41.0,2022-03-25,11882435.0,339358440.0,28.5,28.65,28.45,28.65, 0.00,5208.0,False,0.9024390243902426,0.9152303130301706,0.886940570388357
19.0,2022-03-28,14061781.0,402452618.0,28.45,28.9,28.35,28.9,+0.25,6462.0,False,1.0,0.9458316073302828,0.9170569175185532
42.0,2022-03-28,14061781.0,402452618.0,28.45,28.9,28.35,28.9,+0.25,6462.0,False,1.0,0.9434868753534468,0.9057893387100536
20.0,2022-03-29,8711532.0,250576645.0,28.85,28.95,28.6,28.75,-0.15,4667.0,False,0.8787878787878791,0.9234836978161484,0.9191991776177516
43.0,2022-03-29,8711532.0,250576645.0,28.85,28.95,28.6,28.75,-0.15,4667.0,False,0.8787878787878791,0.9219205431649242,0.9111664068616772
21.0,2022-03-30,14622835.0,422131766.0,28.75,28.95,28.7,28.95,+0.20,5692.0,False,1.0,0.9489891318774322,0.9291291623709784
44.0,2022-03-30,14622835.0,422131766.0,28.75,28.95,28.7,28.95,+0.20,5692.0,False,1.0,0.947947028776616,0.9234266141666568
22.0,2022-03-31,23568289.0,693512608.0,28.95,29.7,28.9,29.55,+0.60,8091.0,False,0.921052631578948,0.9396769651112707,0.9326450966177424
45.0,2022-03-31,23568289.0,693512608.0,28.95,29.7,28.9,29.55,+0.60,8091.0,False,0.921052631578948,0.9389822297107266,0.9286118193480132
46.0,2022-04-01,13119593.0,387735394.0,29.5,29.7,29.25,29.65,+0.10,5599.0,False,0.9736842105263154,0.950549556649256,0.9359243984484276
47.0,2022-04-06,32478865.0,983855511.0,29.7,30.75,29.6,30.75,+1.10,12665.0,False,1.0,0.9670330377661708,0.9462939448876752
48.0,2022-04-07,32762086.0,1000551907.0,30.75,31.0,30.05,30.05,-0.70,15984.0,False,0.6415094339622642,0.858525169831535,0.9170376865356284
49.0,2022-04-08,16087553.0,487350176.0,30.0,30.55,29.95,30.55,+0.50,6023.0,False,0.8301886792452832,0.8490796729694511,0.8943850153469026
50.0,2022-04-11,23510357.0,725140326.0,30.75,31.5,30.4,30.65,+0.10,10519.0,False,0.7301587301587296,0.8094393586992105,0.8660697964643385
51.0,2022-04-12,22230263.0,670480361.0,30.4,30.4,30.0,30.15,-0.50,9907.0,False,0.534482758620689,0.7177871586730366,0.8166422505339044
52.0,2022-04-13,15527105.0,470085554.0,30.2,30.55,30.05,30.35,+0.20,6194.0,False,0.5892857142857149,0.6749533438772626,0.7694126149816904
53.0,2022-04-14,26972488.0,803138557.0,30.25,30.3,29.55,29.55,-0.80,14815.0,False,0.2500000000000007,0.5333022292515086,0.6907091530716298
54.0,2022-04-15,19429424.0,569131974.0,29.25,29.7,28.95,29.25,-0.30,9334.0,False,0.11764705882352965,0.3947505057755156,0.5920562706395918
55.0,2022-04-18,24573768.0,701023227.0,29.0,29.0,28.1,28.55,-0.70,15462.0,False,0.13235294117647042,0.30728465090916723,0.4971323973961169
56.0,2022-04-19,9587699.0,274588087.0,28.6,28.9,28.55,28.55, 0.00,5353.0,False,0.13235294117647042,0.2489740809982683,0.414412958596834
57.0,2022-04-20,14595425.0,417787514.0,28.6,28.9,28.3,28.85,+0.30,6490.0,False,0.22058823529411767,0.2395121324302181,0.3561126832079621
58.0,2022-04-21,10520590.0,300807991.0,28.85,28.9,28.45,28.55,-0.30,6075.0,False,0.13235294117647042,0.2037924020123022,0.30533925614274204
59.0,2022-04-22,15281735.0,436548152.0,28.25,28.9,28.1,28.85,+0.30,6448.0,False,0.3061224489795919,0.2379024176680654,0.2828603099845165
60.0,2022-04-25,18704741.0,529536440.0,28.3,28.5,28.15,28.3,-0.55,8884.0,False,0.08163265306122422,0.18581249613245168,0.2505110387004949
61.0,2022-04-26,11572402.0,332315773.0,28.35,29.0,28.35,28.8,+0.50,5355.0,False,0.31818181818181795,0.2299356034822405,0.2436525602944101
62.0,2022-04-27,14432896.0,409878788.0,28.45,28.55,28.2,28.3,-0.50,7918.0,False,0.12499999999999972,0.19495706898816006,0.22742072985899345
63.0,2022-04-28,20903335.0,587951006.0,28.3,28.4,27.9,28.2,-0.10,8959.0,False,0.27272727272727304,0.2208804702345311,0.225240643317506
