日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/28,13808463.0,273217133.0,19.75,19.95,19.6,19.95,+0.10,7523.0,False,0.7142857142857132,0.7772948582765937,0.8019206236665567
111/03/29,11814226.0,235851194.0,19.9,20.05,19.85,19.95, 0.00,4511.0,False,0.5999999999999979,0.718196572184395,0.7740126065058361
111/03/30,29364829.0,592345086.0,20.05,20.35,20.05,20.15,+0.20,8689.0,False,0.7777777777777751,0.738056974048855,0.7620273956868424
111/03/31,56824441.0,1163992926.0,20.25,20.7,20.15,20.5,+0.35,12526.0,False,0.8260869565217396,0.7674003015398164,0.7638183643045005
111/04/01,39151477.0,804096288.0,20.4,20.8,20.25,20.6,+0.10,9972.0,False,0.8333333333333338,0.7893779788043221,0.7723382358044409
111/04/06,56739193.0,1185313566.0,20.5,21.1,20.45,21.1,+0.50,14056.0,False,1.0,0.8595853192028813,0.8014205969372543
111/04/07,51498055.0,1075730563.0,21.05,21.2,20.65,20.7,-0.40,23246.0,False,0.6874999999999996,0.802223546135254,0.8016882466699209
111/04/08,30179756.0,627179058.0,20.8,21.0,20.5,20.95,+0.25,11857.0,False,0.8437499999999998,0.8160656974235025,0.8064807302544481
111/04/11,46783279.0,972451206.0,20.75,21.15,20.5,20.7,-0.25,15039.0,False,0.6874999999999996,0.7732104649490015,0.7953906418192991
111/04/12,29501915.0,606873554.0,20.65,20.8,20.45,20.6,-0.10,8301.0,False,0.5555555555555565,0.7006588284845198,0.7638133707077059
111/04/13,21350995.0,438572153.0,20.65,20.75,20.3,20.55,-0.05,9344.0,False,0.4347826086956527,0.6120334218882307,0.7132200544345475
111/04/14,30434769.0,616535623.0,20.5,20.6,20.1,20.15,-0.40,12734.0,False,0.04545454545454297,0.4231737964103348,0.6165379684264766
111/04/15,22857472.0,457685910.0,20.1,20.3,19.9,20.0,-0.15,7678.0,False,0.07692307692307797,0.3077568899145825,0.5136109422558452
111/04/18,38918115.0,761324949.0,19.9,19.95,19.3,19.55,-0.45,16032.0,False,0.13157894736842116,0.2490309090658621,0.42541759785918415
111/04/19,28294001.0,553252631.0,19.55,19.85,19.4,19.4,-0.15,10535.0,False,0.052631578947367336,0.18356446569303045,0.3447998871371329
111/04/20,27690504.0,537414754.0,19.6,19.65,19.25,19.6,+0.20,10219.0,False,0.18421052631579035,0.18377981923395045,0.29112653116940546
111/04/21,32138401.0,620507066.0,19.65,19.7,19.2,19.3,-0.30,13823.0,False,0.05128205128205203,0.13961389658331766,0.2406223196407095
111/04/22,28060752.0,540052738.0,19.15,19.45,19.05,19.35,+0.05,8445.0,False,0.17142857142857185,0.15021878819840234,0.2104878091599404
111/04/25,39360222.0,748628805.0,19.15,19.2,18.9,19.15,-0.20,13828.0,False,0.13513513513513506,0.14519090384397992,0.18872217405462025
111/04/26,27744631.0,537345512.0,19.2,19.5,19.15,19.35,+0.20,7858.0,False,0.2647058823529424,0.18502923001363408,0.18749119270762485
111/04/27,32861237.0,628730108.0,19.15,19.3,19.0,19.1,-0.25,8414.0,False,0.14285714285714468,0.1709718676281376,0.1819847510144625
111/04/28,30448006.0,580732389.0,19.1,19.2,18.95,19.15,+0.05,7000.0,False,0.23809523809523794,0.1933463244505044,0.1857719421598097
111/04/29,23993657.0,465170998.0,19.2,19.5,19.2,19.4,+0.25,4953.0,False,0.5263157894736826,0.3043361461248971,0.22529334348150554
111/05/03,22724910.0,437199544.0,19.4,19.4,19.15,19.3,-0.10,7472.0,False,0.5000000000000022,0.36955743074993214,0.27338137257098105
111/05/04,20833105.0,401933543.0,19.35,19.45,19.2,19.4,+0.10,6026.0,False,0.6249999999999994,0.4547049538332879,0.3338225663250833
111/05/05,98895191.0,1867780572.0,19.5,19.55,18.6,18.9,-0.50,34856.0,False,0.3157894736842078,0.4083997937835945,0.35868164214458703
111/05/06,63574800.0,1166037665.0,18.5,18.6,18.2,18.4,-0.50,23876.0,False,0.14814814814814747,0.32164924523844546,0.34633750984253986
111/05/09,56435904.0,1011382069.0,18.2,18.2,17.75,17.85,-0.55,24256.0,False,0.055555555555556316,0.2329513486774824,0.3085421227875207
111/05/10,52210918.0,909356358.0,17.25,17.65,17.05,17.5,-0.35,18786.0,False,0.17999999999999972,0.2153008991183215,0.2774617148977876
111/05/11,28689238.0,498706873.0,17.5,17.6,17.3,17.35,-0.15,12223.0,False,0.12000000000000027,0.18353393274554766,0.2461524541803743
111/05/12,59708460.0,1006134096.0,17.25,17.25,16.55,16.7,-0.65,25814.0,False,0.04999999999999952,0.13902262183036498,0.2104425100637045
111/05/13,44468569.0,737977833.0,16.65,16.8,16.35,16.7, 0.00,16119.0,False,0.10937499999999936,0.12914008122024312,0.18334170044921733
111/05/16,25363011.0,423442044.0,16.75,17.0,16.5,16.8,+0.10,11866.0,False,0.1406249999999998,0.132968387480162,0.1665505961261989
111/05/17,19837946.0,333837878.0,16.95,16.95,16.65,16.85,+0.05,7631.0,False,0.15625000000000006,0.14072892498677467,0.1579433724130575
111/05/18,31779165.0,546055445.0,16.85,17.35,16.8,17.25,+0.40,9799.0,False,0.39999999999999936,0.22715261665784955,0.18101312049465484
111/05/19,29774588.0,500010382.0,16.8,16.9,16.6,16.8,-0.45,9233.0,False,0.24324324324324315,0.2325161588529807,0.19818079994743013
111/05/20,22396889.0,382520428.0,16.95,17.2,16.9,17.05,+0.25,6783.0,False,0.5384615384615391,0.3344979520558335,0.2436198506502313
111/05/23,24178393.0,412217411.0,17.3,17.3,16.8,17.05, 0.00,7058.0,False,0.5599999999999994,0.40966530137055546,0.29896833422367264
111/05/24,15772446.0,269375644.0,17.05,17.25,17.0,17.0,-0.05,5761.0,False,0.6499999999999986,0.4897768675803698,0.36257117867590505
111/05/25,18487983.0,313538646.0,17.05,17.15,16.8,17.0, 0.00,6563.0,False,0.6499999999999986,0.5431845783869127,0.4227756452462409
111/05/26,16798056.0,285668354.0,17.15,17.25,16.85,16.95,-0.05,6388.0,False,0.5294117647058806,0.5385936404932353,0.4613816436619057
111/05/27,21077641.0,363464117.0,17.15,17.35,17.05,17.25,+0.30,6084.0,False,0.8666666666666648,0.6479513158843784,0.5235715344027299
111/05/30,24494937.0,432383405.0,17.45,17.8,17.4,17.7,+0.45,7820.0,False,0.9166666666666654,0.7375230994784742,0.5948887227613112
111/05/31,47361143.0,845256534.0,17.65,17.95,17.5,17.95,+0.25,5620.0,False,1.0,0.825015399652316,0.6715976150583127
111/06/01,19107430.0,337569284.0,17.85,17.9,17.55,17.55,-0.40,7697.0,False,0.652173913043479,0.7674015707827035,0.7035322669664431
111/06/02,10310305.0,180610534.0,17.45,17.65,17.35,17.5,-0.05,3702.0,False,0.6086956521739132,0.7144995979131067,0.7071880439486642
111/06/06,58343337.0,1048949273.0,17.7,18.3,17.6,18.0,+0.50,11647.0,False,0.7999999999999995,0.7429997319420709,0.7191252732797997
111/06/07,28133176.0,497242883.0,17.95,18.0,17.6,17.7,-0.30,8602.0,False,0.5999999999999991,0.695333154628047,0.7111945670625488
111/06/08,14128195.0,248863061.0,17.8,17.8,17.55,17.6,-0.10,5165.0,False,0.5172413793103451,0.6359692295221464,0.6861194545490813
111/06/09,25171082.0,436790685.0,17.5,17.5,17.25,17.35,-0.25,9388.0,False,0.2400000000000005,0.5039794863480977,0.62540613181542
